ItemID,productID,cs,serial,location,receivedDate,status,phoneNumber,simNumber,createdAt
24000001,Chip1001,2840001,70000001,ADT Security,01/09/2024,Storeroom,6421xxxxxxx,6401xxxxxxxxxxxx,05/09/2024
24000002,Chip1001,2840002,70000002,ADT Security,01/09/2024,Storeroom,6427xxxxxxx,896401xxxxxxxxxxxxx,05/09/2024
24000003,Chip1001,2840003,70000003,ADT Security,01/09/2024,Storeroom,6421xxxxxxx,6401xxxxxxxxxxxx,05/09/2024
24000004,Chip1001,2840004,70000004,ADT Security,01/09/2024,Storeroom,6427xxxxxxx,896401xxxxxxxxxxxxx,05/09/2024
24000005,Chip1001,2840005,70000005,ADT Security,01/09/2024,Storeroom,6421xxxxxxx,6401xxxxxxxxxxxx,05/09/2024
24000006,Chip1001,2840006,70000006,ADT Security,01/09/2024,Storeroom,6427xxxxxxx,896401xxxxxxxxxxxxx,05/09/2024
24000007,Chip1001,2840007,70000007,ADT Security,01/09/2024,Storeroom,6421xxxxxxx,6401xxxxxxxxxxxx,05/09/2024
24000008,Chip1001,2840008,70000008,ADT Security,01/09/2024,Storeroom,6427xxxxxxx,896401xxxxxxxxxxxxx,05/09/2024
24000009,Chip1001,2840009,70000009,ADT Security,01/09/2024,Storeroom,6421xxxxxxx,6401xxxxxxxxxxxx,05/09/2024
24000010,Chip1002,2840010,20000001,ADT Security,01/09/2024,Storeroom,6427xxxxxxx,896401xxxxxxxxxxxxx,05/09/2024
24000011,Chip1002,2840011,20000002,ADT Security,01/09/2024,Storeroom,6421xxxxxxx,6401xxxxxxxxxxxx,05/09/2024
24000012,Chip1002,2840012,20000003,ADT Security,01/09/2024,Storeroom,6427xxxxxxx,896401xxxxxxxxxxxxx,05/09/2024
24000013,Chip1002,2840013,20000004,ADT Security,01/09/2024,Storeroom,6421xxxxxxx,6401xxxxxxxxxxxx,05/09/2024
24000014,Chip1002,2840014,20000005,ADT Security,01/09/2024,Storeroom,6427xxxxxxx,896401xxxxxxxxxxxxx,05/09/2024
24000015,Chip1002,2840015,20000006,ADT Security,01/09/2024,Storeroom,6421xxxxxxx,6401xxxxxxxxxxxx,05/09/2024
24000016,Chip1002,2840016,20000007,ADT Security,01/09/2024,Storeroom,6427xxxxxxx,896401xxxxxxxxxxxxx,05/09/2024
24000017,Chip1002,2840017,20000008,ADT Security,01/09/2024,Storeroom,6421xxxxxxx,6401xxxxxxxxxxxx,05/09/2024
24000018,Chip1002,2840018,20000009,ADT Security,01/09/2024,Storeroom,6427xxxxxxx,896401xxxxxxxxxxxxx,05/09/2024
24000019,Chip1002,2840019,20000010,ADT Security,01/09/2024,Storeroom,6421xxxxxxx,6401xxxxxxxxxxxx,05/09/2024
